Medicamento1 Medicamento2 Clase
ZITHROMAX TETRADECYL@SULFATE 0
ZITHROMAX ZINACEF 1
ZOCOR COZAAR 1
ZOCOR YOCON 1
ZOCOR ZOLOFT 1
ZOFRAN CARBRITAL 0
ZOFRAN FOLIC@ACID 0
ZOFRAN PACLITAXEL 0
ZOFRAN PARAPLATIN 0
ZOFRAN ZANTAC 1
ZOFRAN ZOSYN 1
ZOLMITRIPTAN OCUMYCIN 0
ZOLMITRIPTAN REZULIN 0
ZOLMITRIPTAN SUMATRIPTAN 1
ZOLOFT LONOX 0
ZOLOFT ZOCOR 1
ZONALON TIAZAC 0
ZONALON ZONE@A@FORTE 1
ZONE@A@FORTE LOMOVIL 0
ZONE@A@FORTE SERTRALINE 0
ZONE@A@FORTE TIZANIDINE 0
ZONE@A@FORTE ZONALON 1
ZOSYN NAPROSYN 0
ZOSYN ZOFRAN 1
ZYBAN ZAGAM 1
ZYPREXA CELEXA 1
ZYPREXA GLUCOPHAGE 0
ZYPREXA INDERAL@LA 0
ZYPREXA LEVBID 0
ZYPREXA NAVANE 0
ZYPREXA ZOLOFT 0
ZYPREXA ZYRTEC 1
ZYRTEC CAFERGOT 0
ZYRTEC XANAX 1
ZYRTEC ZANTAC 1
ZYRTEC ZYPREXA 1
ZYVOX DOXORUBICIN 0
ZYVOX SELEGILINE 0
ZYVOX VIOXX 1
